"X1","X2","bigram","label"
"christmas","day","christmas day","politics"
"day","january","day january","politics"
"january","usdaw","january usdaw","politics"
"usdaw","trade","usdaw trade","politics"
"trade","union","trade union","politics"
"union","shop","union shop","politics"
"shop","workers","shop workers","politics"
"workers","enjoy","workers enjoy","politics"
"enjoy","break","enjoy break","politics"
"break","families","break families","politics"
"families","msp","families msp","politics"
"msp","karen","msp karen","politics"
"karen","whitefield","karen whitefield","politics"
"whitefield","ensure","whitefield ensure","politics"
"ensure","roles","ensure roles","politics"
"roles","essential","roles essential","politics"
"essential","festive","essential festive","politics"
"festive","season","festive season","politics"
"season","recent","season recent","politics"
"recent","stores","recent stores","politics"
"stores","traditional","stores traditional","politics"
"traditional","holidays","traditional holidays","politics"
"holidays","starting","holidays starting","politics"
"starting","endofyear","starting endofyear","politics"
"endofyear","sale","endofyear sale","politics"
"sale","christmas","sale christmas","politics"
"christmas","day","christmas day","politics"
"day","day","day day","politics"
"day","ms","day ms","politics"
"ms","whitefield","ms whitefield","politics"
"whitefield","found","whitefield found","politics"
"found","public","found public","politics"
"public","supportive","public supportive","politics"
"supportive","campaigning","supportive campaigning","politics"
"campaigning","streets","campaigning streets","politics"
"streets","evidence","streets evidence","politics"
"evidence","vast","evidence vast","politics"
"vast","majority","vast majority","politics"
"majority","people","majority people","politics"
"people","shop","people shop","politics"
"shop","workers","shop workers","politics"
"workers","special","workers special","politics"
"special","days","special days","politics"
"days","spend","days spend","politics"
"spend","friends","spend friends","politics"
"friends","family","friends family","politics"
"family","usdaw","family usdaw","politics"
"usdaw","secretary","usdaw secretary","politics"
"secretary","john","secretary john","politics"
"john","hannett","john hannett","politics"
"hannett","added","hannett added","politics"
"added","christmas","added christmas","politics"
"christmas","day","christmas day","politics"
"day","day","day day","politics"
"day","special","day special","politics"
"special","days","special days","politics"
"days","scotland","days scotland","politics"
"scotland","shops","scotland shops","politics"
"shops","special","shops special","politics"
"special","collective","special collective","politics"
"collective","days","collective days","politics"
"days","rest","days rest","politics"
"rest","people","rest people","politics"
"people","karen","people karen","politics"
"karen","consultation","karen consultation","politics"
"consultation","special","consultation special","politics"
"special","nature","special nature","politics"
"nature","days","nature days","politics"
"days","remain","days remain","politics"
"remain","trading","remain trading","politics"
"trading","day","trading day","politics"
"day","shops","day shops","politics"
"shops","business","shops business","politics"
"business","usual","business usual","politics"
"usual","consultation","usual consultation","politics"
"consultation","christmas","consultation christmas","politics"
"christmas","day","christmas day","politics"
"day","trading","day trading","politics"
"trading","bill","trading bill","politics"
"bill","attracted","bill attracted","politics"
"attracted","responses","attracted responses","politics"
"responses","closes","responses closes","politics"
"closes","february","closes february","politics"
"february","blair","february blair","politics"
"blair","hails","blair hails","politics"
"hails","turkeyeu","hails turkeyeu","politics"
"turkeyeu","talks","turkeyeu talks","politics"
"talks","deal","talks deal","politics"
"deal","tony","deal tony","politics"
"tony","blair","tony blair","politics"
"blair","hailed","blair hailed","politics"
"hailed","deal","hailed deal","politics"
"deal","bringing","deal bringing","politics"
"bringing","turkey","bringing turkey","politics"
"turkey","step","turkey step","politics"
"step","closer","step closer","politics"
"closer","eu","closer eu","politics"
"eu","membership","eu membership","politics"
"membership","worlds","membership worlds","politics"
"worlds","future","worlds future","politics"
"future","peace","future peace","politics"
"peace","prosperity","peace prosperity","politics"
"prosperity","blair","prosperity blair","politics"
"blair","leading","blair leading","politics"
"leading","advocate","leading advocate","politics"
"advocate","turkish","advocate turkish","politics"
"turkish","membership","turkish membership","politics"
"membership","controversy","membership controversy","politics"
"controversy","surrounding","controversy surrounding","politics"
"surrounding","idea","surrounding idea","politics"
"idea","leaving","idea leaving","politics"
"leaving","brussels","leaving brussels","politics"
"brussels","summit","brussels summit","politics"
"summit","blair","summit blair","politics"
"blair","turkey","blair turkey","politics"
"turkey","muslim","turkey muslim","politics"
"muslim","country","muslim country","politics"
"country","barred","country barred","politics"
"barred","deal","barred deal","politics"
"deal","formal","deal formal","politics"
"formal","talks","formal talks","politics"
"talks","ankara","talks ankara","politics"
"ankara","eu","ankara eu","politics"
"eu","demand","eu demand","politics"
"demand","turkey","demand turkey","politics"
"turkey","recognise","turkey recognise","politics"
"recognise","cyprus","recognise cyprus","politics"
"cyprus","agreed","cyprus agreed","politics"
"agreed","issue","agreed issue","politics"
"issue","tackled","issue tackled","politics"
"tackled","date","tackled date","politics"
"date","turkish","date turkish","politics"
"turkish","premier","turkish premier","politics"
"premier","recep","premier recep","politics"
"recep","erdogan","recep erdogan","politics"
"erdogan","accept","erdogan accept","politics"
"accept","negotiations","accept negotiations","politics"
"negotiations","guarantee","negotiations guarantee","politics"
"guarantee","country","guarantee country","politics"
"country","eu","country eu","politics"
"eu","membership","eu membership","politics"
"membership","joins","membership joins","politics"
"joins","turkey","joins turkey","politics"
"turkey","accept","turkey accept","politics"
"accept","restrictions","accept restrictions","politics"
"restrictions","limit","restrictions limit","politics"
"limit","migration","limit migration","politics"
"migration","citizens","migration citizens","politics"
"citizens","blair","citizens blair","politics"
"blair","turkey","blair turkey","politics"
"turkey","eu","turkey eu","politics"
"eu","importance","eu importance","politics"
"importance","future","importance future","politics"
"future","peace","future peace","politics"
"peace","prosperity","peace prosperity","politics"
"prosperity","country","prosperity country","politics"
"country","britain","country britain","politics"
"britain","wider","britain wider","politics"
"wider","world","wider world","politics"
"world","stating","world stating","politics"
"stating","fundamental","stating fundamental","politics"
"fundamental","principle","fundamental principle","politics"
"principle","turkey","principle turkey","politics"
"turkey","muslim","turkey muslim","politics"
"muslim","country","muslim country","politics"
"country","barred","country barred","politics"
"barred","europe","barred europe","politics"
"europe","contrary","europe contrary","politics"
"contrary","fulfils","contrary fulfils","politics"
"fulfils","principles","fulfils principles","politics"
"principles","human","principles human","politics"
"human","rights","human rights","politics"
"rights","muslim","rights muslim","politics"
"muslim","christian","muslim christian","politics"
"christian","agreement","christian agreement","politics"
"agreement","turkey","agreement turkey","politics"
"turkey","issue","turkey issue","politics"
"issue","written","issue written","politics"
"written","statement","written statement","politics"
"statement","promising","statement promising","politics"
"promising","sign","promising sign","politics"
"sign","accord","sign accord","politics"
"accord","effectively","accord effectively","politics"
"effectively","recognising","effectively recognising","politics"
"recognising","greek","recognising greek","politics"
"greek","cypriot","greek cypriot","politics"
"cypriot","government","cypriot government","politics"
"government","turkey","government turkey","politics"
"turkey","time","turkey time","politics"
"time","sell","time sell","politics"
"sell","idea","sell idea","politics"
"idea","people","idea people","politics"
"people","internationally","people internationally","politics"
"internationally","recognised","internationally recognised","politics"
"recognised","southern","recognised southern","politics"
"southern","cyprus","southern cyprus","politics"
"cyprus","eu","cyprus eu","politics"
"eu","turkey","eu turkey","politics"
"turkey","occupies","turkey occupies","politics"
"occupies","northern","occupies northern","politics"
"northern","cyprus","northern cyprus","politics"
"cyprus","previously","cyprus previously","politics"
"previously","insisted","previously insisted","politics"
"insisted","bow","insisted bow","politics"
"bow","demands","bow demands","politics"
"demands","recognise","demands recognise","politics"
"recognise","country","recognise country","politics"
"country","calling","country calling","politics"
"calling","issue","calling issue","politics"
"issue","red","issue red","politics"
"red","line","red line","politics"
"line","turkey","line turkey","politics"
"turkey","join","turkey join","politics"
"join","entry","join entry","politics"
"entry","guaranteed","entry guaranteed","politics"
"guaranteed","eu","guaranteed eu","politics"
"eu","announced","eu announced","politics"
"announced","start","announced start","politics"
"start","accession","start accession","politics"
"accession","talks","accession talks","politics"
"talks","croatia","talks croatia","politics"
"croatia","april","croatia april","politics"
"april","talks","april talks","politics"
"talks","begin","talks begin","politics"
"begin","country","begin country","politics"
"country","cooperates","country cooperates","politics"
"cooperates","war","cooperates war","politics"
"war","crimes","war crimes","politics"
"crimes","tribunal","crimes tribunal","politics"
"tribunal","yugoslavia","tribunal yugoslavia","politics"
"yugoslavia","guantanamo","yugoslavia guantanamo","politics"
"guantanamo","pairs","guantanamo pairs","politics"
"pairs","passport","pairs passport","politics"
"passport","ban","passport ban","politics"
"ban","government","ban government","politics"
"government","written","government written","politics"
"written","british","written british","politics"
"british","freed","british freed","politics"
"freed","guantanamo","freed guantanamo","politics"
"guantanamo","bay","guantanamo bay","politics"
"bay","telling","bay telling","politics"
"telling","allowed","telling allowed","politics"
"allowed","passports","allowed passports","politics"
"passports","letter","passports letter","politics"
"letter","martin","letter martin","politics"
"martin","mubanga","martin mubanga","politics"
"mubanga","british","mubanga british","politics"
"british","passport","british passport","politics"
"passport","issued","passport issued","politics"
"issued","light","issued light","politics"
"light","evidence","light evidence","politics"
"evidence","gathered","evidence gathered","politics"
"gathered","suggested","gathered suggested","politics"
"suggested","action","suggested action","politics"
"action","uk","action uk","politics"
"uk","allied","uk allied","politics"
"allied","targets","allied targets","politics"
"targets","left","targets left","politics"
"left","britain","left britain","politics"
"britain","identical","britain identical","politics"
"identical","letter","identical letter","politics"
"letter","feroz","letter feroz","politics"
"feroz","abbasi","feroz abbasi","politics"
"abbasi","mens","abbasi mens","politics"
"mens","solicitor","mens solicitor","politics"
"solicitor","released","solicitor released","politics"
"released","cuba","released cuba","politics"
"cuba","detention","cuba detention","politics"
"detention","camp","detention camp","politics"
"camp","january","camp january","politics"
"january","richard","january richard","politics"
"richard","belmar","richard belmar","politics"
"belmar","moazzam","belmar moazzam","politics"
"moazzam","begg","moazzam begg","politics"
"begg","received","begg received","politics"
"received","letters","received letters","politics"
"letters","government","letters government","politics"
"government","implementing","government implementing","politics"
"implementing","rarely","implementing rarely","politics"
"rarely","royal","rarely royal","politics"
"royal","prerogative","royal prerogative","politics"
"prerogative","withdraw","prerogative withdraw","politics"
"withdraw","mens","withdraw mens","politics"
"mens","passports","mens passports","politics"
"passports","time","passports time","politics"
"time","power","time power","politics"
"power","time","power time","politics"
"time","letter","time letter","politics"
"letter","home","letter home","politics"
"home","office","home office","politics"
"office","writing","office writing","politics"
"writing","inform","writing inform","politics"
"inform","basis","inform basis","politics"
"basis","information","basis information","politics"
"information","light","information light","politics"
"light","detention","light detention","politics"
"detention","united","detention united","politics"
"united","home","united home","politics"
"home","secretary","home secretary","politics"
"secretary","considered","secretary considered","politics"
"considered","strong","considered strong","politics"
"strong","grounds","strong grounds","politics"
"grounds","believing","grounds believing","politics"
"believing","leaving","believing leaving","politics"
"leaving","united","leaving united","politics"
"united","kingdom","united kingdom","politics"
"kingdom","activities","kingdom activities","politics"
"activities","united","activities united","politics"
"united","kingdom","united kingdom","politics"
"kingdom","allied","kingdom allied","politics"
"allied","targets","allied targets","politics"
"targets","home","targets home","politics"
"home","office","home office","politics"
"office","comment","office comment","politics"
"comment","individual","comment individual","politics"
"individual","liberal","individual liberal","politics"
"liberal","democrats","liberal democrats","politics"
"democrats","suspect","democrats suspect","politics"
"suspect","move","suspect move","politics"
"move","package","move package","politics"
"package","security","package security","politics"
"security","measures","security measures","politics"
"measures","agreed","measures agreed","politics"
"agreed","allowed","agreed allowed","politics"
"allowed","home","allowed home","politics"
"home","guantanamo","home guantanamo","politics"
"guantanamo","bay","guantanamo bay","politics"
"bay","home","bay home","politics"
"home","affairs","home affairs","politics"
"affairs","spokesman","affairs spokesman","politics"
"spokesman","mark","spokesman mark","politics"
"mark","oaten","mark oaten","politics"
"oaten","demanded","oaten demanded","politics"
"demanded","assurances","demanded assurances","politics"
"assurances","evidence","assurances evidence","politics"
"evidence","gained","evidence gained","politics"
"gained","torture","gained torture","politics"
"torture","added","torture added","politics"
"added","power","added power","politics"
"power","absolute","power absolute","politics"
"absolute","extreme","absolute extreme","politics"
"extreme","circumstances","extreme circumstances","politics"
"circumstances","hard","circumstances hard","politics"
"hard","conditions","hard conditions","politics"
"conditions","met","conditions met","politics"
"met","time","met time","politics"
"time","move","time move","politics"
"move","raised","move raised","politics"
"raised","complex","raised complex","politics"
"complex","questions","complex questions","politics"
"questions","royal","questions royal","politics"
"royal","prerogative","royal prerogative","politics"
"prerogative","liberal","prerogative liberal","politics"
"liberal","democrats","liberal democrats","politics"
"democrats","promised","democrats promised","politics"
"promised","raise","promised raise","politics"
"raise","issue","raise issue","politics"
"issue","parliament","issue parliament","politics"
"parliament","amnesty","parliament amnesty","politics"
"amnesty","international","amnesty international","politics"
"international","uk","international uk","politics"
"uk","questioned","uk questioned","politics"
"questioned","decisions","questioned decisions","politics"
"decisions","based","decisions based","politics"
"based","torture","based torture","politics"
"torture","evidence","torture evidence","politics"
"evidence","obtained","evidence obtained","politics"
"obtained","guantanamo","obtained guantanamo","politics"
"guantanamo","bay","guantanamo bay","politics"
"bay","investigation","bay investigation","politics"
"investigation","role","investigation role","politics"
"role","played","role played","politics"
"played","uk","played uk","politics"
"uk","detention","uk detention","politics"
"detention","uk","detention uk","politics"
"uk","residents","uk residents","politics"
"residents","nationals","residents nationals","politics"
"nationals","possibly","nationals possibly","politics"
"possibly","guantanamo","possibly guantanamo","politics"
"guantanamo","bay","guantanamo bay","politics"
"bay","director","bay director","politics"
"director","kate","director kate","politics"
"kate","allen","kate allen","politics"
"allen","mens","allen mens","politics"
"mens","solicitor","mens solicitor","politics"
"solicitor","louise","solicitor louise","politics"
"louise","christian","louise christian","politics"
"christian","raised","christian raised","politics"
"raised","questions","raised questions","politics"
"questions","evidence","questions evidence","politics"
"evidence","gathered","evidence gathered","politics"
"gathered","torture","gathered torture","politics"
"torture","pentagon","torture pentagon","politics"
"pentagon","told","pentagon told","politics"
"told","bbc","told bbc","politics"
"bbc","news","bbc news","politics"
"news","policy","news policy","politics"
"policy","condemns","policy condemns","politics"
"condemns","prohibits","condemns prohibits","politics"
"prohibits","torture","prohibits torture","politics"
"torture","evidence","torture evidence","politics"
"evidence","british","evidence british","politics"
"british","detainee","british detainee","politics"
"detainee","tortured","detainee tortured","politics"
"tortured","abused","tortured abused","politics"
"abused","abbasi","abused abbasi","politics"
"abbasi","croydon","abbasi croydon","politics"
"croydon","south","croydon south","politics"
"south","london","south london","politics"
"london","guantanamo","london guantanamo","politics"
"guantanamo","bay","guantanamo bay","politics"
"bay","captured","bay captured","politics"
"captured","afghanistan","captured afghanistan","politics"
"afghanistan","mubanga","afghanistan mubanga","politics"
"mubanga","north","mubanga north","politics"
"north","london","north london","politics"
"london","originally","london originally","politics"
"originally","detained","originally detained","politics"
"detained","zambia","detained zambia","politics"
"zambia","commons","zambia commons","politics"
"commons","hunt","commons hunt","politics"
"hunt","protest","hunt protest","politics"
"protest","charges","protest charges","politics"
"charges","protesters","charges protesters","politics"
"protesters","stormed","protesters stormed","politics"
"stormed","house","stormed house","politics"
"house","commons","house commons","politics"
"commons","chamber","commons chamber","politics"
"chamber","debate","chamber debate","politics"
"debate","hunting","debate hunting","politics"
"hunting","bill","hunting bill","politics"
"bill","charged","bill charged","politics"
"charged","disorderly","charged disorderly","politics"
"disorderly","conduct","disorderly conduct","politics"
"conduct","arrested","conduct arrested","politics"
"arrested","september","arrested september","politics"
"september","bursting","september bursting","politics"
"bursting","chamber","bursting chamber","politics"
"chamber","causing","chamber causing","politics"
"causing","hunting","causing hunting","politics"
"hunting","ban","hunting ban","politics"
"ban","debate","ban debate","politics"
"debate","halted","debate halted","politics"
"halted","charged","halted charged","politics"
"charged","included","charged included","politics"
"included","otis","included otis","politics"
"otis","ferry","otis ferry","politics"
"ferry","yearold","ferry yearold","politics"
"yearold","son","yearold son","politics"
"son","rock","son rock","politics"
"rock","star","rock star","politics"
"star","bryan","star bryan","politics"
"bryan","ferry","bryan ferry","politics"
"ferry","luke","ferry luke","politics"
"luke","tomlinson","luke tomlinson","politics"
"tomlinson","close","tomlinson close","politics"
"close","friend","close friend","politics"
"friend","princes","friend princes","politics"
"princes","william","princes william","politics"
"william","harry","william harry","politics"
"harry","charged","harry charged","politics"
"charged","section","charged section","politics"
"section","public","section public","politics"
"public","act","public act","politics"
"act","police","act police","politics"
"police","held","police held","politics"
"held","impromptu","held impromptu","politics"
"impromptu","news","impromptu news","politics"
"news","conference","news conference","politics"
"conference","charing","conference charing","politics"
"charing","cross","charing cross","politics"
"cross","police","cross police","politics"
"police","station","police station","politics"
"station","monday","station monday","politics"
"monday","evening","monday evening","politics"
"evening","charges","evening charges","politics"
"charges","mens","charges mens","politics"
"mens","solicitor","mens solicitor","politics"
"solicitor","matthew","solicitor matthew","politics"
"matthew","knight","matthew knight","politics"
"knight","time","knight time","politics"
"time","occurred","time occurred","politics"
"occurred","committing","occurred committing","politics"
"committing","criminal","committing criminal","politics"
"criminal","offence","criminal offence","politics"
"offence","offence","offence offence","politics"
"offence","trespassing","offence trespassing","politics"
"trespassing","house","trespassing house","politics"
"house","commons","house commons","politics"
"commons","criminal","commons criminal","politics"
"criminal","offence","criminal offence","politics"
"offence","parliament","offence parliament","politics"
"parliament","entering","parliament entering","politics"
"entering","house","entering house","politics"
"house","commons","house commons","politics"
"commons","chamber","commons chamber","politics"
"chamber","foot","chamber foot","politics"
"foot","criminal","foot criminal","politics"
"criminal","offence","criminal offence","politics"
"offence","retrospectively","offence retrospectively","politics"
"retrospectively","prosecuted","retrospectively prosecuted","politics"
"prosecuted","prosecuted","prosecuted prosecuted","politics"
"prosecuted","public","prosecuted public","politics"
"public","act","public act","politics"
"act","offence","act offence","politics"
"offence","guilty","offence guilty","politics"
"guilty","bow","guilty bow","politics"
"bow","street","bow street","politics"
"street","magistrates","street magistrates","politics"
"magistrates","court","magistrates court","politics"
"court","december","court december","politics"
"december","police","december police","politics"
"police","spokesman","police spokesman","politics"
"spokesman","otis","spokesman otis","politics"
"otis","ferry","otis ferry","politics"
"ferry","eton","ferry eton","politics"
"eton","pupil","eton pupil","politics"
"pupil","joint","pupil joint","politics"
"joint","leader","joint leader","politics"
"leader","south","leader south","politics"
"south","shropshire","south shropshire","politics"
"shropshire","hunt","shropshire hunt","politics"
"hunt","regrets","hunt regrets","politics"
"regrets","wrong","regrets wrong","politics"
"wrong","obvious","wrong obvious","politics"
"obvious","stand","obvious stand","politics"
"stand","rights","stand rights","politics"
"rights","act","rights act","politics"
"act","sheep","act sheep","politics"
"sheep","rest","sheep rest","politics"
"rest","country","rest country","politics"
"country","david","country david","politics"
"david","redvers","david redvers","politics"
"redvers","hartpury","redvers hartpury","politics"
"hartpury","gloucestershire","hartpury gloucestershire","politics"
"gloucestershire","protesters","gloucestershire protesters","politics"
"protesters","plead","protesters plead","politics"
"plead","guilty","plead guilty","politics"
"guilty","charges","guilty charges","politics"
"charges","protesters","charges protesters","politics"
"protesters","john","protesters john","politics"
"john","holliday","john holliday","politics"
"holliday","huntsman","holliday huntsman","politics"
"huntsman","ledbury","huntsman ledbury","politics"
"ledbury","herefordshire","ledbury herefordshire","politics"
"herefordshire","robert","herefordshire robert","politics"
"robert","thame","robert thame","politics"
"thame","plays","thame plays","politics"
"plays","polo","plays polo","politics"
"polo","princes","polo princes","politics"
"princes","charles","princes charles","politics"
"charles","team","charles team","politics"
"team","highgrove","team highgrove","politics"
"highgrove","auctioneer","highgrove auctioneer","politics"
"auctioneer","andrew","auctioneer andrew","politics"
"andrew","elliot","andrew elliot","politics"
"elliot","bromesberrow","elliot bromesberrow","politics"
"bromesberrow","ledbury","bromesberrow ledbury","politics"
"ledbury","pointtopoint","ledbury pointtopoint","politics"
"pointtopoint","jockey","pointtopoint jockey","politics"
"jockey","richard","jockey richard","politics"
"richard","wakeham","richard wakeham","politics"
"wakeham","york","wakeham york","politics"
"york","royal","york royal","politics"
"royal","chef","royal chef","politics"
"chef","nick","chef nick","politics"
"nick","wood","nick wood","politics"
"wood","september","wood september","politics"
"september","protest","september protest","politics"
"protest","day","protest day","politics"
"day","huge","day huge","politics"
"huge","prohunting","huge prohunting","politics"
"prohunting","demonstration","prohunting demonstration","politics"
"demonstration","parliament","demonstration parliament","politics"
"parliament","square","parliament square","politics"
"square","ran","square ran","politics"
"ran","speakers","ran speakers","politics"
"speakers","chair","speakers chair","politics"
"chair","wrestled","chair wrestled","politics"
"wrestled","doorkeeper","wrestled doorkeeper","politics"
"doorkeeper","entrance","doorkeeper entrance","politics"
"entrance","confront","entrance confront","politics"
"confront","mps","confront mps","politics"
"mps","bundled","mps bundled","politics"
"bundled","chamber","bundled chamber","politics"
"chamber","led","chamber led","politics"
"led","handcuffed","led handcuffed","politics"
"handcuffed","police","handcuffed police","politics"
"police","intercepted","police intercepted","politics"
"intercepted","security","intercepted security","politics"
"security","staff","security staff","politics"
"staff","join","staff join","politics"
"join","chamber","join chamber","politics"
"chamber","speaker","chamber speaker","politics"
"speaker","michael","speaker michael","politics"
"michael","martin","michael martin","politics"
"martin","forged","martin forged","politics"
"forged","letter","forged letter","politics"
"letter","gain","letter gain","politics"
"gain","access","gain access","politics"
"access","house","access house","politics"
"house","commons","house commons","politics"
"commons","helped","commons helped","politics"
"helped","close","helped close","politics"
"close","chamber","close chamber","politics"
"chamber","parliamentary","chamber parliamentary","politics"
"parliamentary","pass","parliamentary pass","politics"
"pass","holder","pass holder","politics"
"holder","november","holder november","politics"
"november","parliament","november parliament","politics"
"parliament","act","parliament act","politics"
"act","meant","act meant","politics"
"meant","total","meant total","politics"
"total","ban","total ban","politics"
"ban","hunting","ban hunting","politics"
"hunting","dogs","hunting dogs","politics"
"dogs","england","dogs england","politics"
"england","wales","england wales","politics"
"wales","prohunt","wales prohunt","politics"
"prohunt","activists","prohunt activists","politics"
"activists","remained","activists remained","politics"
"remained","defiant","remained defiant","politics"
"defiant","law","defiant law","politics"
"law","passed","law passed","politics"
"passed","ignore","passed ignore","politics"
"ignore","ban","ignore ban","politics"
"ban","continue","ban continue","politics"
"continue","hunt","continue hunt","politics"
"hunt","countryside","hunt countryside","politics"
"countryside","alliance","countryside alliance","politics"
"alliance","hunts","alliance hunts","politics"
"hunts","meet","hunts meet","politics"
"meet","legally","meet legally","politics"
"legally","day","legally day","politics"
"day","ban","day ban","politics"
"ban","hunting","ban hunting","politics"
"hunting","dogs","hunting dogs","politics"
"dogs","force","dogs force","politics"
"force","alliance","force alliance","politics"
"alliance","february","alliance february","politics"
"february","meets","february meets","politics"
"meets","law","meets law","politics"
"law","impossibly","law impossibly","politics"
"impossibly","difficult","impossibly difficult","politics"
"difficult","determine","difficult determine","politics"
"determine","interpretations","determine interpretations","politics"
"interpretations","child","interpretations child","politics"
"child","access","child access","politics"
"access","laws","access laws","politics"
"laws","shakeup","laws shakeup","politics"
"shakeup","parents","shakeup parents","politics"
"parents","refuse","parents refuse","politics"
"refuse","partners","refuse partners","politics"
"partners","contact","partners contact","politics"
"contact","children","contact children","politics"
"children","electronically","children electronically","politics"
"electronically","tagged","electronically tagged","politics"
"tagged","plans","tagged plans","politics"
"plans","considered","plans considered","politics"
"considered","ministers","considered ministers","politics"
"ministers","curfews","ministers curfews","politics"
"curfews","community","curfews community","politics"
"community","service","community service","politics"
"service","options","service options","politics"
"options","court","options court","politics"
"court","parental","court parental","politics"
"parental","access","parental access","politics"
"access","defied","access defied","politics"
"defied","lord","defied lord","politics"
"lord","falconer","lord falconer","politics"
"falconer","constitutional","falconer constitutional","politics"
"constitutional","affairs","constitutional affairs","politics"
"affairs","secretary","affairs secretary","politics"
"secretary","outlined","secretary outlined","politics"
"outlined","plans","outlined plans","politics"
"plans","tuesday","plans tuesday","politics"
"tuesday","denied","tuesday denied","politics"
"denied","fathers","denied fathers","politics"
"fathers","activists","fathers activists","politics"
"activists","forced","activists forced","politics"
"forced","telling","forced telling","politics"
"telling","bbc","telling bbc","politics"
"bbc","recognition","bbc recognition","politics"
"recognition","wrong","recognition wrong","politics"
"wrong","couples","wrong couples","politics"
"couples","court","couples court","politics"
"court","resolve","court resolve","politics"
"resolve","access","resolve access","politics"
"access","disputes","access disputes","politics"
"disputes","separations","disputes separations","politics"
"separations","court","separations court","politics"
"court","intervention","court intervention","politics"
"intervention","lord","intervention lord","politics"
"lord","falconer","lord falconer","politics"
"falconer","told","falconer told","politics"
"told","bbc","told bbc","politics"
"bbc","radio","bbc radio","politics"
"radio","programme","radio programme","politics"
"programme","hoped","programme hoped","politics"
"hoped","voluntary","hoped voluntary","politics"
"voluntary","mediation","voluntary mediation","politics"
"mediation","solve","mediation solve","politics"
"solve","disputes","solve disputes","politics"
"disputes","reached","disputes reached","politics"
"reached","court","reached court","politics"
"court","opposed","court opposed","politics"
"opposed","compulsory","opposed compulsory","politics"
"compulsory","mediation","compulsory mediation","politics"
"mediation","lead","mediation lead","politics"
"lead","people","lead people","politics"
"people","taking","people taking","politics"
"taking","wrong","taking wrong","politics"
"wrong","attitude","wrong attitude","politics"
"attitude","plans","attitude plans","politics"
"plans","include","plans include","politics"
"include","parenting","include parenting","politics"
"parenting","plans","parenting plans","politics"
"plans","advice","plans advice","politics"
"advice","access","advice access","politics"
"access","arrangements","access arrangements","politics"
"arrangements","based","arrangements based","politics"
"based","reallife","based reallife","politics"
"reallife","examples","reallife examples","politics"
"examples","extending","examples extending","politics"
"extending","incourt","extending incourt","politics"
"incourt","conciliation","incourt conciliation","politics"
"conciliation","informal","conciliation informal","politics"
"informal","hearings","informal hearings","politics"
"hearings","contested","hearings contested","politics"
"contested","court","contested court","politics"
"court","access","court access","politics"
"access","legal","access legal","politics"
"legal","emotional","legal emotional","politics"
"emotional","practical","emotional practical","politics"
"practical","advice","practical advice","politics"
"advice","telephone","advice telephone","politics"
"telephone","internet","telephone internet","politics"
"internet","legal","internet legal","politics"
"legal","aid","legal aid","politics"
"aid","incentives","aid incentives","politics"
"incentives","resolution","incentives resolution","politics"
"resolution","disputes","resolution disputes","politics"
"disputes","judges","disputes judges","politics"
"judges","jail","judges jail","politics"
"jail","parents","jail parents","politics"
"parents","breach","parents breach","politics"
"breach","contact","breach contact","politics"
"contact","nuclear","contact nuclear","politics"
"nuclear","option","nuclear option","politics"
"option","rarely","option rarely","politics"
"rarely","childs","rarely childs","politics"
"childs","spokesman","childs spokesman","politics"
"spokesman","aim","spokesman aim","politics"
"aim","legislation","aim legislation","politics"
"legislation","provide","legislation provide","politics"
"provide","medium","provide medium","politics"
"medium","range","medium range","politics"
"range","penalties","range penalties","politics"
"penalties","fines","penalties fines","politics"
"fines","community","fines community","politics"
"community","service","community service","politics"
"service","compulsory","service compulsory","politics"
"compulsory","anger","compulsory anger","politics"
"anger","management","anger management","politics"
"management","parenting","management parenting","politics"
"parenting","classes","parenting classes","politics"
"classes","curfews","classes curfews","politics"
"curfews","failure","curfews failure","politics"
"failure","comply","failure comply","politics"
"comply","measures","comply measures","politics"
"measures","result","measures result","politics"
"result","offenders","result offenders","politics"
"offenders","electronically","offenders electronically","politics"
"electronically","tagged","electronically tagged","politics"
"tagged","possibility","tagged possibility","politics"
"possibility","tagging","possibility tagging","politics"
"tagging","uncooperative","tagging uncooperative","politics"
"uncooperative","parents","uncooperative parents","politics"
"parents","lord","parents lord","politics"
"lord","falconer","lord falconer","politics"
"falconer","tagging","falconer tagging","politics"
"tagging","debate","tagging debate","politics"
"debate","details","debate details","politics"
"details","powers","details powers","politics"
"powers","revealed","powers revealed","politics"
"revealed","bill","revealed bill","politics"
"bill","published","bill published","politics"
"published","weeks","published weeks","politics"
"weeks","spokesman","weeks spokesman","politics"
"spokesman","governments","spokesman governments","politics"
"governments","proposals","governments proposals","politics"
"proposals","met","proposals met","politics"
"met","disapproval","met disapproval","politics"
"disapproval","fathers","disapproval fathers","politics"
"fathers","rights","fathers rights","politics"
"rights","john","rights john","politics"
"john","ison","john ison","politics"
"ison","controversial","ison controversial","politics"
"controversial","fathers","controversial fathers","politics"
"fathers","justice","fathers justice","politics"
"justice","disappointing","justice disappointing","politics"
"disappointing","cynical","disappointing cynical","politics"
"cynical","recycling","cynical recycling","politics"
"recycling","existing","recycling existing","politics"
"existing","legislation","existing legislation","politics"
"legislation","jim","legislation jim","politics"
"jim","parton","jim parton","politics"
"parton","families","parton families","politics"
"families","fathers","families fathers","politics"
"fathers","proposals","fathers proposals","politics"
